Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
HIF1A 21447827 ChIP-Seq MCF-7 Human	16/321	2.073232723011439E-8	1.2812578228210693E-5	0	0	6.522961261355331	115.40143654452534	ERRFI1;SCARB1;ANKRD37;PFKFB4;EGLN3;SLC2A1;INHBA;NDRG1;TRAM2;HK2;NCOR2;P4HA1;UBC;ITGA5;ANGPTL4;PFKP
LXR 22292898 ChIP-Seq THP-1 Human	39/2000	9.288640635940073E-7	2.0498377801836599E-4	0	0	2.6516093677456674	36.829007098002954	GRAMD1B;ERRFI1;SCARB1;PFKFB4;HDAC2;CLIC3;SEMA3B;ATP2C2;MTMR4;LIMD1;SSFA2;CCND3;CYP11A1;ALOX5;TIMP2;MGAT3;QSOX1;MFSD2A;LYN;EGLN3;COL27A1;GPT2;ARHGEF16;ATP11A;SYNJ2;NEAT1;GP6;TNFRSF1B;DGKZ;NCOR2;SLC6A6;OBSCN;BCL6;OAF;TRIM14;PAEP;GPRC5C;BCAT2;ENG
WT1 25993318 ChIP-Seq PODOCYTE Human	56/3464	9.95066883584301E-7	2.0498377801836599E-4	0	0	2.3059467918622847	31.869235904012072	SCARB1;FLT1;SLC2A1;IL1RAP;TRAM2;LRRC1;CCND3;SH3PXD2A;PHACTR2;SLC16A3;DLGAP2;MFSD2A;CSGALNACT1;BNIP3L;DAPK1;ANXA4;ARHGEF16;ACOT11;HPCAL1;AFAP1;ATP11A;NEAT1;AES;NCOR2;MYCN;OAF;MALAT1;ITGA5;GPRC5C;GRAMD1B;HDAC2;ARHGEF28;NDRG1;PRKCZ;SSFA2;CYP11A1;FAM120A;MXI1;NRIP1;PCED1B;SH3BP5;MAN1C1;GSE1;FLNB;IGF2BP2;SASH1;STRA6;LYN;WWTR1;GALNT2;INSR;PLEKHA5;SYNJ2;POU2F3;HOPX;SLC6A6
Nerf2 26677805 Chip-Seq MACROPHAGESS Mouse	29/1331	3.6805865453542933E-6	5.686506212572383E-4	0	0	2.86538338453661	35.852933180682356	GRAMD1B;PFKFB4;HTRA4;SLC2A1;LIMD1;HK2;BASP1;UBC;SH3BP5;IGF2BP2;ATG7;SASH1;GALNT2;DAPK1;INSR;ANXA4;HPCAL1;RASSF8;SERPINB9;INHBA;SYNJ2;NEAT1;TNFRSF1B;NCOR2;SLC6A6;BCL6;TRIM14;PLEKHM2;PIK3AP1
ZNF217 24962896 ChIP-Seq MCF-7 Human	31/1522	6.419232645874676E-6	7.934171550301099E-4	0	0	2.684728086830844	32.09917809593805	ERRFI1;SCARB1;FLT1;ATP2C2;NDRG1;TRAM2;BASP1;UBC;NRIP1;SH3BP5;FLNB;QSOX1;STRA6;TFAP2A;LYN;EGLN3;MME;LIMCH1;DAPK1;ANXA4;PLEKHA5;MTUS1;AFAP1;CORO2A;NEAT1;NCOR2;SLC6A6;BCL6;HIST1H4H;MALAT1;CALM1
TFAP2C 20629094 ChIP-Seq MCF-7 Human	26/1203	1.4437711502581276E-5	0.0012903749183862862	0	0	2.80258237534606	31.23664967219863	GRAMD1B;ERRFI1;SCARB1;SEMA3B;GDPD5;PRKCZ;CYP19A1;HK2;CORO1C;FZR1;SH3BP5;FLNB;RDH13;ATG7;RANBP2;ANXA4;HPCAL1;MTUS1;AFAP1;SYNJ2;CORO2A;DGKZ;POU2F3;NCOR2;SLC6A6;PPP1R12C
JUND 26020271 ChIP-Seq SMOOTH MUSCLE Human	36/2000	1.6207420886960367E-5	0.0012903749183862862	0	0	2.389983201272541	26.361613514738654	FLT1;SERPINE1;SLC2A1;IL1RAP;NDRG1;HK2;FZR1;PORCN;SH3PXD2A;MXI1;UBC;SH3BP5;TIMP2;RDH13;ATG7;SASH1;WWTR1;MOCOS;PSG1;PSG3;INHBA;NEAT1;TNFRSF1B;POU2F3;HOPX;PSG9;SLC6A6;KIF2A;BCL6;PSG4;OAF;PSG7;HIST1H4H;MALAT1;CALM1;PFKP
VDR 24763502 ChIP-Seq THP-1 Human	27/1288	1.6703882438657427E-5	0.0012903749183862862	0	0	2.722790131771914	29.95033581009184	SCARB1;HTRA4;MTMR4;NDRG1;CYP19A1;CCND3;SH3PXD2A;BASP1;UBC;NRIP1;SLC16A3;ATG7;CSGALNACT1;GPT2;INSR;DIO2;HPCAL1;ARID3A;INHBA;NEAT1;DGKZ;NCOR2;OBSCN;BCL6;MALAT1;PIK3AP1;ENG
SCL 21571218 ChIP-Seq MEGAKARYOCYTES Human	33/1784	2.2788628762357995E-5	0.001564819175015249	0	0	2.433336052867749	26.010534689723894	CSF1R;GRAMD1B;SLC2A1;IL1RAP;GDPD5;INPP5B;FGD4;SH3BP5;TIMP2;MAN1C1;MGAT3;DLGAP2;LYN;EGLN3;GALNT2;DAPK1;HPCAL1;AFAP1;ARID3A;CORO2A;NEAT1;TNFRSF1B;PSG9;NCOR2;OBSCN;LEP;SFXN3;PAEP;PLEKHM2;MALAT1;PLIN2;PIK3AP1;GPRC5C
DMRT1 23473982 ChIP-Seq TESTES Mouse	36/2072	3.464213245647078E-5	0.002140883785809894	0	0	2.296172543845812	23.582702147517868	PRKCZ;HK2;CORO1C;FGD4;CCND3;SH3PXD2A;BASP1;FAM120A;UBC;TIMP2;MGAT3;IGF2BP2;DLGAP2;MFSD2A;WWTR1;BNIP3L;GALNT2;DAPK1;INSR;ANXA4;PLCL2;ACOT11;MTUS1;ARID3A;ATP11A;NEAT1;MID1;DGKZ;AES;SLC6A6;BMP1;BCL6;ITGA5;CALM1;PFKP;BCAT2
